"campaignid","sample","caab_code","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","number"
"2020-10_south-west_BOSS","100","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","101","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","101","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,6
"2020-10_south-west_BOSS","101","80300904","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,3
"2020-10_south-west_BOSS","101","80300909","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,11
"2020-10_south-west_BOSS","101","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,40
"2020-10_south-west_BOSS","101","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,11
"2020-10_south-west_BOSS","101","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,7
"2020-10_south-west_BOSS","102","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","102","10000000","Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2020-10_south-west_BOSS","102","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,4
"2020-10_south-west_BOSS","102","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","102","80300905","Biota","Macroalgae","Erect coarse branching","Green",NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","102","80300906","Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","102","80300909","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,4
"2020-10_south-west_BOSS","102","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,51
"2020-10_south-west_BOSS","102","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,9
"2020-10_south-west_BOSS","102","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,5
"2020-10_south-west_BOSS","110","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","110","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,79
"2020-10_south-west_BOSS","113","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,80
"2020-10_south-west_BOSS","115","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","115","00000002","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","115","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,76
"2020-10_south-west_BOSS","117","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2020-10_south-west_BOSS","117","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,76
"2020-10_south-west_BOSS","119","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","119","10000000","Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2020-10_south-west_BOSS","119","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","119","80300904","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","119","80300909","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","119","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,42
"2020-10_south-west_BOSS","119","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,15
"2020-10_south-west_BOSS","119","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,15
"2020-10_south-west_BOSS","122","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2020-10_south-west_BOSS","122","10000000","Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2020-10_south-west_BOSS","122","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,5
"2020-10_south-west_BOSS","122","54079009","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",3
"2020-10_south-west_BOSS","122","63618905","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",12
"2020-10_south-west_BOSS","122","80300904","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,4
"2020-10_south-west_BOSS","122","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,23
"2020-10_south-west_BOSS","122","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,20
"2020-10_south-west_BOSS","122","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,3
"2020-10_south-west_BOSS","123","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"2020-10_south-west_BOSS","123","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","123","11168917","Biota","Cnidaria","Corals","Black & Octocorals","Whip",NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","123","54079009","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",3
"2020-10_south-west_BOSS","123","80300904","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,10
"2020-10_south-west_BOSS","123","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,12
"2020-10_south-west_BOSS","123","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,13
"2020-10_south-west_BOSS","123","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,25
"2020-10_south-west_BOSS","125","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"2020-10_south-west_BOSS","125","10000000","Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2020-10_south-west_BOSS","125","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","125","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","125","54079009","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",5
"2020-10_south-west_BOSS","125","80300904","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,5
"2020-10_south-west_BOSS","125","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,20
"2020-10_south-west_BOSS","125","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,13
"2020-10_south-west_BOSS","125","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,11
"2020-10_south-west_BOSS","126","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"2020-10_south-west_BOSS","126","10000000","Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2020-10_south-west_BOSS","126","11290907","Biota","Cnidaria","Corals","Stony corals","Foliose / plate",NA,NA,NA,NA,NA,NA,5
"2020-10_south-west_BOSS","126","54079009","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",3
"2020-10_south-west_BOSS","126","63618905","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",7
"2020-10_south-west_BOSS","126","80300000","Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","126","80300904","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,3
"2020-10_south-west_BOSS","126","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,11
"2020-10_south-west_BOSS","126","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,12
"2020-10_south-west_BOSS","126","82001004","Physical","Substrate","Consolidated (hard)","Cobbles",NA,NA,NA,NA,NA,NA,NA,4
"2020-10_south-west_BOSS","126","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,16
"2020-10_south-west_BOSS","130","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","130","10000000","Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2020-10_south-west_BOSS","130","54079009","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",4
"2020-10_south-west_BOSS","130","63618905","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",20
"2020-10_south-west_BOSS","130","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,30
"2020-10_south-west_BOSS","130","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,21
"2020-10_south-west_BOSS","132","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2020-10_south-west_BOSS","132","63618905","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",21
"2020-10_south-west_BOSS","132","80300909","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,8
"2020-10_south-west_BOSS","132","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,30
"2020-10_south-west_BOSS","132","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,9
"2020-10_south-west_BOSS","132","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,6
"2020-10_south-west_BOSS","133","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"2020-10_south-west_BOSS","133","10000000","Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","133","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,3
"2020-10_south-west_BOSS","133","54079009","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",23
"2020-10_south-west_BOSS","133","63618905","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",21
"2020-10_south-west_BOSS","133","80300909","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","133","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,5
"2020-10_south-west_BOSS","133","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,12
"2020-10_south-west_BOSS","134","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"2020-10_south-west_BOSS","134","10000000","Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","134","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","134","54079009","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",3
"2020-10_south-west_BOSS","134","63618905","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",5
"2020-10_south-west_BOSS","134","80300000","Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"2020-10_south-west_BOSS","134","80300904","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","134","80300909","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,4
"2020-10_south-west_BOSS","134","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,20
"2020-10_south-west_BOSS","134","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,13
"2020-10_south-west_BOSS","134","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,10
"2020-10_south-west_BOSS","135","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"2020-10_south-west_BOSS","135","00000002","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2020-10_south-west_BOSS","135","10000000","Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","135","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","135","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","135","11001000","Biota","Cnidaria","Hydroids",NA,NA,NA,NA,NA,NA,NA,NA,5
"2020-10_south-west_BOSS","135","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,36
"2020-10_south-west_BOSS","136","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"2020-10_south-west_BOSS","136","00000002","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"2020-10_south-west_BOSS","136","10000000","Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","136","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,6
"2020-10_south-west_BOSS","136","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,3
"2020-10_south-west_BOSS","136","20000000","Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","136","82001004","Physical","Substrate","Consolidated (hard)","Cobbles",NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","136","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,39
"2020-10_south-west_BOSS","145","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"2020-10_south-west_BOSS","145","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,3
"2020-10_south-west_BOSS","145","54079009","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",5
"2020-10_south-west_BOSS","145","63618905","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",1
"2020-10_south-west_BOSS","145","80300904","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,5
"2020-10_south-west_BOSS","145","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,29
"2020-10_south-west_BOSS","145","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,17
"2020-10_south-west_BOSS","145","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,9
"2020-10_south-west_BOSS","146","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","146","54079009","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",10
"2020-10_south-west_BOSS","146","63618905","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",8
"2020-10_south-west_BOSS","146","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","146","80300930","Biota","Macroalgae","Filamentous / filiform",NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","146","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,35
"2020-10_south-west_BOSS","146","82001004","Physical","Substrate","Consolidated (hard)","Cobbles",NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","146","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,23
"2020-10_south-west_BOSS","147","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"2020-10_south-west_BOSS","147","54079009","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",3
"2020-10_south-west_BOSS","147","80300000","Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"2020-10_south-west_BOSS","147","80300904","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","147","80300909","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","147","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,16
"2020-10_south-west_BOSS","147","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,10
"2020-10_south-west_BOSS","147","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,31
"2020-10_south-west_BOSS","15","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","15","10000000","Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","15","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","15","54079009","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",4
"2020-10_south-west_BOSS","15","63618905","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",15
"2020-10_south-west_BOSS","15","80300000","Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","15","80300909","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","15","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,37
"2020-10_south-west_BOSS","15","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,10
"2020-10_south-west_BOSS","15","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,8
"2020-10_south-west_BOSS","152","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"2020-10_south-west_BOSS","152","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","152","54079009","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",3
"2020-10_south-west_BOSS","152","63618905","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",4
"2020-10_south-west_BOSS","152","80300000","Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","152","80300904","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,3
"2020-10_south-west_BOSS","152","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,10
"2020-10_south-west_BOSS","152","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,28
"2020-10_south-west_BOSS","152","82001004","Physical","Substrate","Consolidated (hard)","Cobbles",NA,NA,NA,NA,NA,NA,NA,10
"2020-10_south-west_BOSS","152","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,13
"2020-10_south-west_BOSS","157","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","157","00000002","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2020-10_south-west_BOSS","157","10000000","Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2020-10_south-west_BOSS","157","10000903","Biota","Sponges","Massive forms",NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","157","10000912","Biota","Sponges","Erect forms",NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","157","20000000","Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","157","54079009","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",6
"2020-10_south-west_BOSS","157","63618905","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",5
"2020-10_south-west_BOSS","157","80300000","Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2020-10_south-west_BOSS","157","80300904","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","157","80300909","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,10
"2020-10_south-west_BOSS","157","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,12
"2020-10_south-west_BOSS","157","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,15
"2020-10_south-west_BOSS","157","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,15
"2020-10_south-west_BOSS","158","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","158","80300910","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,2
"2020-10_south-west_BOSS","158","82001002","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,18
"2020-10_south-west_BOSS","158","82001004","Physical","Substrate","Consolidated (hard)","Cobbles",NA,NA,NA,NA,NA,NA,NA,16
"2020-10_south-west_BOSS","158","82001014","Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,42
"2020-10_south-west_BOSS","16","00000001","Biota","Unscorable",NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"2020-10_south-west_BOSS","16","10000000","Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"2020-10_south-west_BOSS","16","10000901","Biota","Sponges","Crusts",NA,NA,NA,NA,NA,NA,NA,NA,1
